timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
2949,MKR1310,196,5,-91,11.0,1,1150,50.0,16.1,12,12,12
4449,MKR1310,197,5,-90,10.0,3,1104,50.6,15.9,11,11,11
5949,MKR1310,198,5,-91,9.0,0,1050,51.7,15.9,11,11,11
11449,MKR1310,199,5,-89,9.5,3,982,52.4,15.7,10,10,10
12949,MKR1310,200,5,-93,9.5,6,924,52.0,15.8,10,10,10
14449,MKR1310,201,5,-89,10.0,2,903,51.7,15.8,9,9,9
15949,MKR1310,202,5,-91,9.8,6,877,51.6,15.7,9,9,9
21450,MKR1310,203,5,-91,9.2,4,831,51.0,15.7,8,8,8
22950,MKR1310,204,5,-91,9.2,3,824,50.5,15.8,8,8,8
24450,MKR1310,205,5,-90,10.0,6,784,50.1,15.6,7,7,7
25950,MKR1310,206,5,-91,9.8,6,756,49.8,15.5,7,7,7
31450,MKR1310,207,5,-89,9.8,4,773,49.0,15.6,7,7,7
32950,MKR1310,208,5,-91,9.0,3,743,48.5,15.6,7,7,7
34450,MKR1310,209,5,-88,9.2,5,713,48.4,15.5,6,6,6
35949,MKR1310,210,5,-91,10.0,0,718,48.0,15.5,6,6,6
41449,MKR1310,211,5,-91,10.0,5,691,47.3,15.3,6,6,6
42949,MKR1310,212,5,-93,11.2,6,792,47.9,15.4,6,6,6
44449,MKR1310,213,5,-88,9.0,5,712,46.9,15.2,6,6,6
45949,MKR1310,214,5,-88,9.5,2,703,46.7,15.3,6,6,6
51449,MKR1310,215,5,-90,9.5,6,705,46.5,15.3,5,5,5
52949,MKR1310,216,5,-91,10.5,3,685,46.0,15.2,6,6,6
54449,MKR1310,217,5,-90,10.5,3,675,45.7,15.2,5,5,5
55949,MKR1310,218,5,-88,10.8,4,678,45.6,15.4,6,6,6
61449,MKR1310,219,5,-90,10.0,3,675,45.5,15.1,6,6,6
62950,MKR1310,220,5,-90,9.8,0,637,44.1,15.3,6,6,6
64450,MKR1310,221,5,-91,9.5,3,633,44.2,15.2,6,6,6
65950,MKR1310,222,5,-91,10.8,5,620,43.6,15.0,5,5,5
71450,MKR1310,223,5,-91,9.2,3,628,42.4,15.2,6,6,6
72950,MKR1310,224,5,-90,10.5,1,644,42.6,15.2,6,6,6
74450,MKR1310,225,5,-91,10.5,4,1085,46.0,15.5,6,6,6
75950,MKR1310,226,5,-91,10.0,1,1912,62.7,16.4,12,12,12
81450,MKR1310,227,5,-88,9.8,0,1474,56.9,15.6,10,10,10
82950,MKR1310,228,5,-87,10.5,1,1606,54.6,16.0,9,9,9
84450,MKR1310,229,5,-90,10.2,3,1482,53.1,15.4,9,9,9
85950,MKR1310,230,5,-88,9.8,5,1333,51.5,15.5,8,8,8
91450,MKR1310,231,5,-85,9.0,5,1575,52.4,15.5,7,7,7
92951,MKR1310,232,5,-88,9.2,0,1365,51.5,15.6,25,40,52
94451,MKR1310,233,5,-87,10.0,1,1336,50.1,15.6,21,30,37
95951,MKR1310,234,5,-90,9.8,4,1333,50.3,15.5,19,23,28
101451,MKR1310,235,5,-90,9.2,1,1210,50.2,15.3,17,21,24
102951,MKR1310,236,5,-91,9.8,6,1193,50.1,15.2,15,18,20
104451,MKR1310,237,5,-87,9.2,1,1177,49.9,15.1,15,16,18
105951,MKR1310,238,5,-86,9.8,2,1172,50.1,15.4,13,15,18
111451,MKR1310,239,5,-88,10.0,4,1149,50.6,15.2,13,14,15
112951,MKR1310,240,5,-89,9.2,2,1123,50.1,15.2,12,14,15
114451,MKR1310,241,5,-87,10.5,5,1090,50.2,15.0,12,12,13
