timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
231032,MKR1310,0,0,-75,10.8,0,550,39.09,12.4,19,20,21
232530,MKR1310,1,5,-75,9.2,1,496,42.5,11.7,29,29,29
234030,MKR1310,2,5,-79,9.5,6,468,42.9,11.3,33,33,33
235531,MKR1310,3,5,-85,10.5,6,434,43.7,10.8,32,32,32
1031,MKR1310,4,5,-85,10.2,0,432,44.3,10.8,31,31,31
2531,MKR1310,5,5,-82,9.8,5,420,44.6,10.5,35,35,35
4031,MKR1310,6,5,-87,9.0,0,427,46.0,10.1,33,33,33
5531,MKR1310,7,5,-85,10.8,4,417,46.4,10.0,33,33,33
11031,MKR1310,8,5,-85,10.5,4,408,45.3,10.4,35,35,35
12531,MKR1310,9,5,-84,10.2,5,403,46.2,10.0,35,35,35
14031,MKR1310,10,5,-85,11.0,1,405,45.1,10.0,35,35,35
15531,MKR1310,11,5,-83,9.0,4,406,47.4,9.89,32,32,32
21031,MKR1310,12,5,-85,10.8,0,394,45.1,9.89,36,36,36
22531,MKR1310,13,5,-83,9.5,6,399,47.8,9.39,32,32,32
24031,MKR1310,14,5,-84,10.2,5,406,48.1,9.5,35,35,35
25532,MKR1310,15,5,-83,10.2,4,405,47.9,9.3,37,37,37
31032,MKR1310,16,5,-84,9.8,3,414,48.9,8.89,36,36,36
32532,MKR1310,17,5,-82,9.5,4,410,49.3,8.8,36,36,36
34032,MKR1310,18,5,-85,9.5,0,416,48.9,8.8,36,36,36
35532,MKR1310,19,5,-83,8.5,6,425,49.9,8.5,36,36,36
41032,MKR1310,20,5,-81,9.5,5,418,50.5,8.7,35,35,35
42532,MKR1310,21,5,-85,9.5,3,417,50.6,8.39,35,35,35
44032,MKR1310,22,5,-85,11.0,1,422,50.4,8.5,37,37,37
45532,MKR1310,23,5,-85,10.5,0,413,51.4,8.2,36,36,36
51032,MKR1310,24,5,-83,9.2,4,409,51.7,8.1,36,36,36
52532,MKR1310,25,5,-83,9.5,2,402,50.9,8.0,37,37,37
54032,MKR1310,26,5,-83,10.5,1,409,51.7,7.8,37,37,37
55533,MKR1310,27,5,-84,10.8,2,424,51.6,7.8,37,37,37
61033,MKR1310,28,5,-84,9.8,0,415,51.7,7.7,37,37,37
62533,MKR1310,29,5,-83,9.0,5,428,50.4,8.0,41,41,41
64033,MKR1310,30,5,-84,9.5,2,523,51.8,7.7,32,32,32
65533,MKR1310,31,5,-85,10.2,0,647,54.6,7.9,32,32,32
71033,MKR1310,32,5,-83,9.5,4,542,53.5,8.0,36,36,36
72533,MKR1310,33,5,-84,9.8,3,766,54.5,8.2,28,28,28
74033,MKR1310,34,5,-83,9.5,3,792,52.3,8.6,29,29,29
75533,MKR1310,35,5,-84,9.8,3,639,51.5,8.8,36,36,36
81033,MKR1310,36,5,-84,10.5,6,495,46.1,11.7,43,43,43
82533,MKR1310,37,5,-84,10.0,2,532,38.8,14.4,42,42,42
84034,MKR1310,38,5,-83,9.5,4,485,39.0,12.8,49,49,49
85534,MKR1310,39,5,-84,9.8,0,471,37.5,14.8,45,45,45
91034,MKR1310,40,5,-84,10.2,6,495,32.7,17.79,44,44,44
92534,MKR1310,41,5,-81,9.5,5,481,29.6,19.6,42,42,42
94034,MKR1310,42,5,-84,9.5,4,458,26.6,21.3,41,41,41
95534,MKR1310,43,5,-84,10.0,2,727,20.7,24.7,38,38,38
101034,MKR1310,44,5,-84,9.5,1,588,20.29,24.4,51,51,51
102534,MKR1310,45,5,-90,10.5,0,663,19.4,26.3,43,43,43
104034,MKR1310,46,5,-86,10.0,2,731,23.3,26.0,38,38,38
