timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
23941,MKR1310,0,0,-45,9.8,6,2146,33.7,26.5,5,5,5
25439,MKR1310,1,5,-48,9.2,0,2194,34.8,25.6,5,5,5
30939,MKR1310,2,5,-53,8.8,5,2262,35.4,25.6,5,5,5
32439,MKR1310,3,5,-59,10.5,3,2314,36.3,25.1,5,5,5
33939,MKR1310,4,5,-55,9.2,2,2346,37.09,24.4,5,5,5
35440,MKR1310,5,5,-55,9.0,6,2367,37.59,24.2,5,5,5
40940,MKR1310,6,5,-55,10.5,6,2385,38.8,23.9,5,5,5
42440,MKR1310,7,5,-57,9.8,6,2407,40.0,23.8,5,5,5
43940,MKR1310,8,5,-57,9.8,5,2427,41.0,23.7,5,5,5
45440,MKR1310,9,5,-57,9.8,6,2450,41.7,23.5,5,5,5
50940,MKR1310,10,5,-57,9.8,6,2450,41.7,23.5,5,5,5
52440,MKR1310,11,5,-57,10.2,6,2477,42.1,23.4,5,5,5
53940,MKR1310,12,5,-59,11.0,0,2493,42.6,23.3,5,5,5
55440,MKR1310,13,5,-57,11.5,5,2508,42.9,23.3,5,5,5
60940,MKR1310,14,5,-57,10.2,2,2538,42.3,23.4,5,5,5
62440,MKR1310,15,5,-57,9.5,6,2536,42.5,23.3,5,5,5
63940,MKR1310,16,5,-54,8.5,6,2540,41.8,23.4,5,5,5
65441,MKR1310,17,5,-55,10.2,5,2554,41.9,23.3,5,5,5
70941,MKR1310,18,5,-58,10.0,3,2576,42.0,23.3,5,5,5
72441,MKR1310,19,5,-57,9.5,2,2591,41.8,23.4,5,5,5
73941,MKR1310,20,5,-55,9.8,1,2594,41.8,23.4,5,5,5
75441,MKR1310,21,5,-57,10.8,6,2635,41.7,23.5,5,5,5
80941,MKR1310,22,5,-57,10.8,6,2663,42.3,23.4,5,5,5
82441,MKR1310,23,5,-57,11.2,6,2688,41.9,23.4,5,5,5
83941,MKR1310,24,5,-59,10.0,3,2697,41.7,23.6,5,5,5
85441,MKR1310,25,5,-57,9.5,6,2732,41.6,23.8,5,5,5
90941,MKR1310,26,5,-57,9.5,2,2734,41.7,23.7,5,5,5
92441,MKR1310,27,5,-55,9.8,5,2744,41.3,23.9,5,5,5
93942,MKR1310,28,5,-57,11.2,1,2767,41.1,23.8,5,5,5
95442,MKR1310,29,5,-57,10.8,4,2779,41.3,24.0,5,5,5
100942,MKR1310,30,5,-55,10.5,1,2793,40.7,24.2,5,5,5
102442,MKR1310,31,5,-55,9.8,1,2830,40.3,24.4,5,5,5
103942,MKR1310,32,5,-57,9.5,4,2856,39.09,25.0,5,5,5
105442,MKR1310,33,5,-57,10.2,6,2856,37.59,25.9,5,5,5
110942,MKR1310,34,5,-59,9.8,0,2894,37.59,25.8,5,5,5
112442,MKR1310,35,5,-58,10.0,1,2699,35.0,24.9,5,5,5
113942,MKR1310,36,5,-60,11.0,0,1377,33.09,24.3,5,5,5
115442,MKR1310,37,5,-58,10.0,0,1347,33.9,23.8,5,5,5
120942,MKR1310,38,5,-59,10.5,3,1327,34.3,23.7,5,5,5
122442,MKR1310,39,5,-58,11.0,1,1363,35.0,23.7,5,5,5
123943,MKR1310,40,5,-63,10.8,6,1662,36.5,23.7,5,5,5
125443,MKR1310,41,5,-55,10.5,5,1614,35.09,23.9,5,5,5
130943,MKR1310,42,5,-57,10.0,1,1568,34.7,23.9,5,5,5
132443,MKR1310,43,5,-59,11.0,3,1444,34.2,24.3,5,5,5
133943,MKR1310,44,5,-57,10.8,2,1361,33.8,23.6,5,5,5
135443,MKR1310,45,5,-57,10.2,2,1334,33.5,23.6,5,5,5
140943,MKR1310,46,5,-55,10.2,6,1286,37.8,24.1,5,5,5
142443,MKR1310,47,5,-52,10.5,3,1287,37.7,25.0,5,5,5
143943,MKR1310,48,5,-51,9.8,0,1252,34.09,26.2,5,5,5
145443,MKR1310,49,5,-49,8.5,6,1209,33.2,26.3,5,5,5
150943,MKR1310,50,5,-51,10.0,4,1195,32.9,26.7,5,5,5
152444,MKR1310,51,5,-53,11.0,1,1156,32.8,26.1,5,5,5
153944,MKR1310,52,5,-53,11.0,2,1124,32.0,26.5,5,5,5
155444,MKR1310,53,5,-50,9.5,2,1088,31.7,27.0,5,5,5
160944,MKR1310,54,5,-49,9.5,4,1067,32.0,26.5,5,5,5
162444,MKR1310,55,5,-51,8.8,5,1052,32.0,26.3,5,5,5
163944,MKR1310,56,5,-54,10.8,0,1020,31.5,26.4,5,5,5
165444,MKR1310,57,5,-51,9.5,5,1009,32.0,26.4,5,5,5
170944,MKR1310,58,5,-50,10.0,1,1000,31.9,26.3,5,5,5
172444,MKR1310,59,5,-53,10.5,3,988,32.7,25.9,5,5,5
173944,MKR1310,60,5,-53,8.5,0,968,33.59,25.3,5,5,5
175444,MKR1310,61,5,-51,8.8,4,960,32.4,25.9,5,5,5
180944,MKR1310,62,5,-48,9.2,5,944,32.09,26.0,5,5,5
182445,MKR1310,63,5,-53,10.8,4,918,31.5,26.0,5,5,5
183945,MKR1310,64,5,-51,9.2,5,910,32.9,25.5,5,5,5
185445,MKR1310,65,5,-49,8.8,2,899,31.8,25.7,5,5,5
190945,MKR1310,66,5,-49,9.8,4,868,32.2,25.0,5,5,5
192445,MKR1310,67,5,-51,9.5,1,855,32.5,25.4,5,5,5
193945,MKR1310,68,5,-49,9.2,6,857,32.2,25.3,5,5,5
195445,MKR1310,69,5,-40,9.8,6,864,32.5,25.2,5,5,5
200945,MKR1310,70,5,-41,10.2,4,872,32.9,24.8,5,5,5
202445,MKR1310,71,5,-42,9.2,1,878,33.5,24.8,5,5,5
203945,MKR1310,72,5,-42,9.2,6,892,33.7,24.9,5,5,5
205445,MKR1310,73,5,-42,9.5,6,903,33.8,24.7,5,5,5
212446,MKR1310,75,5,-41,9.2,2,926,33.4,25.0,5,5,5
213946,MKR1310,76,5,-43,10.5,0,939,32.8,25.1,5,5,5
215446,MKR1310,77,5,-41,9.5,5,957,33.09,25.1,5,5,5
220946,MKR1310,78,5,-40,9.8,1,971,33.2,25.2,5,5,5
222446,MKR1310,79,5,-42,8.8,0,980,33.09,25.2,5,5,5
223946,MKR1310,80,5,-41,10.2,4,992,32.9,25.3,5,5,5
225446,MKR1310,81,5,-42,9.8,4,997,33.09,25.3,5,5,5
230946,MKR1310,82,5,-42,10.0,3,1008,32.8,25.5,5,5,5
232446,MKR1310,83,5,-42,10.8,4,1022,33.09,25.3,5,5,5
233946,MKR1310,84,5,-43,10.2,0,1022,33.2,25.3,5,5,5
235446,MKR1310,85,5,-42,9.2,6,1033,32.7,25.5,5,5,5
947,MKR1310,86,5,-42,10.0,2,1037,33.0,25.4,5,5,5
2447,MKR1310,87,5,-42,10.2,3,1042,33.09,25.5,5,5,5
3947,MKR1310,88,5,-43,11.0,3,1078,32.7,25.2,5,5,5
5447,MKR1310,89,5,-47,10.0,1,1340,36.8,24.1,5,5,5
10947,MKR1310,90,5,-42,10.0,2,1357,36.7,23.9,5,5,5
12447,MKR1310,91,5,-56,9.2,1,1295,35.59,24.8,5,5,5
13947,MKR1310,92,5,-52,9.2,6,1409,36.8,23.6,5,5,5
15447,MKR1310,93,5,-55,10.0,2,1445,35.7,24.6,5,5,5
20947,MKR1310,94,5,-54,9.5,1,1343,36.09,24.3,5,5,5
