timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
234433,MKR1310,1,5,-101,8.5,3,1128,50.6,16.29,5,5,5
235933,MKR1310,2,5,-111,4,6,1140,50.4,16.5,5,5,5
1434,MKR1310,3,5,-101,8,3,1122,50.7,16.29,5,5,5
2934,MKR1310,4,5,-109,6.5,2,1102,50,16.2,5,5,5
4434,MKR1310,5,5,-112,3.2,1,1066,50,16,5,5,5
5934,MKR1310,6,5,-111,6.5,2,1043,49.5,16.1,5,5,5
11434,MKR1310,7,5,-114,1.5,0,1010,49.6,16.1,5,5,5
12934,MKR1310,8,5,-107,7,2,974,48.8,16.1,5,5,5
14434,MKR1310,9,5,-109,6.5,6,958,49.1,16.2,5,5,5
15934,MKR1310,10,5,-108,6.2,4,937,47.9,16.2,5,5,5
21434,MKR1310,11,5,-105,8.8,0,910,48,15.9,5,5,5
22934,MKR1310,12,5,-108,5.2,6,885,47.7,16.1,5,5,5
24434,MKR1310,13,5,-111,6,0,870,47.6,16,5,5,5
25934,MKR1310,14,5,-109,6,6,850,47.4,15.9,5,5,5
31435,MKR1310,15,5,-106,7.5,2,836,47.2,16.1,5,5,5
32935,MKR1310,16,5,-105,7.8,5,834,46.6,15.9,5,5,5
34435,MKR1310,17,5,-112,3,2,811,46.9,15.7,5,5,5
35933,MKR1310,18,5,-106,8.5,6,807,46.5,15.9,5,5,5
41434,MKR1310,19,5,-111,4.8,0,800,46.1,15.9,5,5,5
42934,MKR1310,20,5,-112,4,6,777,46,15.8,5,5,5
44434,MKR1310,21,5,-111,5,4,781,46.1,15.7,5,5,5
45934,MKR1310,22,5,-113,5,0,779,45.9,15.7,5,5,5
51434,MKR1310,23,5,-114,1.5,1,767,45.5,16.1,5,5,5
52934,MKR1310,24,5,-108,7.5,4,760,45.7,15.7,5,5,5
54434,MKR1310,25,5,-102,8.8,4,751,45.6,15.9,5,5,5
55934,MKR1310,26,5,-107,5.8,1,752,45,16,5,5,5
61434,MKR1310,27,5,-108,6,1,762,45.4,15.7,5,5,5
62934,MKR1310,28,5,-118,-0.8,3,747,45.2,15.8,5,5,5
64434,MKR1310,29,5,-111,5,1,755,44.7,15.7,5,5,5
65935,MKR1310,30,5,-108,6.5,5,749,44.5,15.8,5,5,5
71435,MKR1310,31,5,-109,5.8,6,735,44.5,15.7,5,5,5
72935,MKR1310,32,5,-103,8,3,733,44.6,15.9,5,5,5
74435,MKR1310,33,5,-109,6.5,5,749,44.5,15.9,5,5,5
75935,MKR1310,34,5,-100,8.8,0,1537,53,16.79,12,12,12
81435,MKR1310,35,5,-104,8.2,1,1456,56.6,16,25,25,25
82935,MKR1310,36,5,-102,8,1,1426,58.4,15.4,23,23,23
84435,MKR1310,37,5,-106,9,5,1361,56.6,15.3,19,19,19
85935,MKR1310,38,5,-105,8.8,6,1324,55.7,15.2,15,15,15
91435,MKR1310,39,5,-97,9.8,1,1261,54.4,15.5,13,13,13
92935,MKR1310,40,5,-103,10,0,1193,53.7,15.1,12,12,12
94435,MKR1310,41,5,-102,10,2,1151,53.8,15,11,11,11
95935,MKR1310,42,5,-101,8.8,3,1135,52.9,14.9,11,11,11
101436,MKR1310,43,5,-105,9.8,3,1099,53,14.8,10,10,10
102936,MKR1310,44,5,-97,9.8,4,1085,53.2,14.8,10,10,10
104436,MKR1310,45,5,-98,9.2,6,1060,52,14.9,10,10,10
105936,MKR1310,46,5,-101,8.2,3,1060,52.7,15.2,9,9,9
111436,MKR1310,47,5,-94,9.2,4,1188,53.6,15.3,8,8,8
112936,MKR1310,48,5,-99,10.2,4,1169,54.3,15.2,7,7,7
114436,MKR1310,49,5,-99,9.5,1,1157,56.7,15.4,8,8,8
115936,MKR1310,50,5,-99,9.8,3,1120,57.1,15.6,8,8,8
121436,MKR1310,51,5,-99,9,0,1061,56.3,15.4,8,8,8
122936,MKR1310,52,5,-95,9,2,1034,55.2,16.2,9,9,9
124436,MKR1310,53,5,-97,9.5,5,1001,53,16.4,8,8,8
125937,MKR1310,54,5,-107,7.8,1,1240,55.9,16.1,12,12,12
131437,MKR1310,55,5,-101,8.2,1,1117,55.6,15.9,8,8,8
132937,MKR1310,56,5,-100,8,1,1116,55.4,15.8,7,7,7
134437,MKR1310,57,5,-105,9,6,1043,55.2,15.8,7,7,7
135937,MKR1310,58,5,-100,8.5,3,994,52.9,16.1,7,7,7
141437,MKR1310,59,5,-100,9.8,2,952,52.8,15.8,7,7,7
142937,MKR1310,60,5,-98,9,4,933,51,15.7,8,8,8
144437,MKR1310,61,5,-99,10.5,4,928,51.8,15.6,7,7,7
145937,MKR1310,62,5,-101,9,0,902,52,15.6,7,7,7
151437,MKR1310,63,5,-97,9,5,889,50.9,15.9,7,7,7
152937,MKR1310,64,5,-99,9.8,2,890,51.5,15.6,6,6,6
154438,MKR1310,65,5,-95,9.2,6,884,51.5,15.4,6,6,6
155938,MKR1310,66,5,-96,9,4,870,51.2,15.5,6,6,6
161438,MKR1310,67,5,-96,9.2,5,871,51.2,15.4,5,5,5
162938,MKR1310,68,5,-101,8.5,4,858,51,15.4,5,5,5
164438,MKR1310,69,5,-99,9.2,4,873,50.9,15.7,6,6,6
165938,MKR1310,70,5,-89,9,2,854,50.5,15.6,5,5,5
171438,MKR1310,71,5,-89,9.2,4,845,50.6,15.4,5,5,5
172938,MKR1310,72,5,-93,9.2,3,833,50.5,15.5,5,5,5
