timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
22531,MKR1310,0,0,-45,7.8,1,550,32.59,26.9,5,5,5
24029,MKR1310,1,5,-43,9.5,6,2409,32.09,26.7,5,5,5
25531,MKR1310,2,5,-48,9.5,1,2479,32.5,26.4,5,5,5
31031,MKR1310,3,5,-53,9.2,6,2585,32.9,26.2,5,5,5
32531,MKR1310,4,5,-50,9.2,5,2667,33.0,26.2,5,5,5
34031,MKR1310,5,5,-51,10.0,5,2785,33.5,26.1,5,5,5
35531,MKR1310,6,5,-52,9.8,6,2823,33.59,26.1,5,5,5
41032,MKR1310,7,5,-54,8.8,2,2941,33.5,26.5,5,5,5
42532,MKR1310,8,5,-54,10.0,4,2927,32.9,26.8,5,5,5
44032,MKR1310,9,5,-56,10.8,3,2982,32.8,26.8,5,5,5
45532,MKR1310,10,5,-54,9.5,5,3007,32.7,26.9,5,5,5
51032,MKR1310,11,5,-54,10.5,2,2973,33.9,26.1,5,5,5
52532,MKR1310,12,5,-55,11.0,3,2976,34.8,25.4,5,5,5
54032,MKR1310,13,5,-53,9.8,6,2996,35.3,25.1,5,5,5
55532,MKR1310,14,5,-54,9.8,1,2971,35.5,24.8,5,5,5
61032,MKR1310,15,5,-52,9.5,1,2974,35.9,24.7,5,5,5
62532,MKR1310,16,5,-55,9.5,0,2955,36.2,24.6,5,5,5
64032,MKR1310,17,5,-54,10.0,4,2934,36.9,24.2,5,5,5
65532,MKR1310,18,5,-53,9.5,5,2952,37.4,24.1,5,5,5
71033,MKR1310,19,5,-52,10.2,5,2924,37.2,24.2,5,5,5
72533,MKR1310,20,5,-55,9.0,3,2937,37.3,24.0,5,5,5
74033,MKR1310,21,5,-55,10.0,3,2910,37.59,24.1,5,5,5
75533,MKR1310,22,5,-54,10.0,1,2932,38.09,24.0,5,5,5
81033,MKR1310,23,5,-54,9.5,1,2931,38.0,24.2,5,5,5
82533,MKR1310,24,5,-55,9.8,0,2971,38.7,24.1,5,5,5
84033,MKR1310,25,5,-54,10.8,4,2989,38.4,24.2,5,5,5
85533,MKR1310,26,5,-51,9.0,5,2129,33.5,24.6,13,13,13
91033,MKR1310,27,5,-53,8.8,4,2183,35.2,24.3,9,9,9
92533,MKR1310,28,5,-55,9.2,0,2196,35.59,24.3,9,9,9
94033,MKR1310,29,5,-55,9.2,0,2233,35.7,24.4,9,9,9
95533,MKR1310,30,5,-52,9.2,5,2204,35.9,24.3,8,8,8
101034,MKR1310,31,5,-53,9.0,1,2190,35.8,24.3,8,8,8
102534,MKR1310,32,5,-54,9.5,6,2164,35.8,24.3,8,8,8
104034,MKR1310,33,5,-53,9.5,3,2124,35.3,24.3,8,8,8
105534,MKR1310,34,5,-54,10.5,1,2162,35.9,24.2,7,7,7
111034,MKR1310,35,5,-51,9.2,5,2200,35.7,24.3,7,7,7
112534,MKR1310,36,5,-54,9.8,6,2192,36.3,24.3,7,7,7
114034,MKR1310,37,5,-55,9.8,0,2222,36.09,24.3,7,7,7
115534,MKR1310,38,5,-53,9.8,3,1979,34.2,24.5,8,8,8
121034,MKR1310,39,5,-52,9.5,4,1424,31.3,24.4,11,11,11
122534,MKR1310,40,5,-54,9.8,6,1343,31.1,24.3,11,11,11
124034,MKR1310,41,5,-50,9.2,5,1544,33.0,24.3,11,11,12
125534,MKR1310,42,5,-53,8.8,1,1435,31.5,25.0,10,10,10
131035,MKR1310,43,5,-53,10.5,3,1538,31.2,25.0,10,10,10
132535,MKR1310,44,5,-54,9.5,5,1304,30.8,24.8,9,9,9
134035,MKR1310,45,5,-55,10.2,1,1283,30.6,24.7,9,9,9
