timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
220849,MKR1310,0,0,-111,8.2,3,0,0.0,0.0,0,0,0
221032,MKR1310,0,0,-99,9.2,6,550,48.4,21.9,10,10,10
222533,MKR1310,1,5,-97,8.5,4,1699,58.6,19.9,10,10,10
224033,MKR1310,2,5,-96,8.8,3,1602,58.5,20.0,9,9,9
225533,MKR1310,3,5,-102,10.0,4,1592,55.3,19.9,6,6,6
231033,MKR1310,4,5,-103,7.8,2,1597,55.1,20.0,6,6,7
232533,MKR1310,5,5,-99,9.2,6,1565,54.1,20.0,5,5,5
234034,MKR1310,6,5,-102,9.0,0,1512,53.3,20.1,5,5,5
235534,MKR1310,7,5,-103,9.8,0,1508,52.7,20.1,5,5,5
1034,MKR1310,8,5,-103,9.2,4,1517,52.3,20.1,5,5,5
2534,MKR1310,9,5,-102,9.5,5,1514,52.2,20.2,5,5,5
4034,MKR1310,10,5,-103,7.8,3,1511,51.8,20.29,5,5,5
5534,MKR1310,11,5,-106,8.0,5,1364,51.4,20.0,5,5,5
11034,MKR1310,12,5,-102,10.0,1,1415,51.6,20.0,5,5,5
12534,MKR1310,13,5,-105,9.5,1,1415,51.3,20.1,5,5,5
14034,MKR1310,14,5,-105,9.0,0,1397,51.1,20.2,5,5,5
15534,MKR1310,15,5,-105,10.2,1,1347,51.1,20.0,6,6,6
21034,MKR1310,16,5,-102,9.0,6,1312,50.2,20.0,6,6,6
22534,MKR1310,17,5,-105,9.0,4,1259,50.2,20.0,5,5,5
24035,MKR1310,18,5,-106,9.0,1,1204,49.7,20.0,5,5,5
25535,MKR1310,19,5,-105,8.5,6,1176,49.5,20.1,6,6,6
31035,MKR1310,20,5,-106,7.8,4,1118,48.8,20.0,5,5,5
32535,MKR1310,21,5,-109,8.0,6,1081,48.6,20.0,6,6,6
34035,MKR1310,22,5,-109,8.0,4,1055,48.5,19.9,5,5,5
35535,MKR1310,23,5,-106,7.8,4,1037,48.3,19.7,7,7,7
41035,MKR1310,24,5,-111,8.8,0,1010,48.2,19.79,6,6,6
42535,MKR1310,25,5,-107,8.8,6,965,47.7,19.79,6,6,6
44035,MKR1310,26,5,-107,7.8,2,948,47.3,19.79,6,6,6
45535,MKR1310,27,5,-107,9.0,6,971,47.6,19.7,6,6,6
51035,MKR1310,28,5,-109,8.0,0,920,47.0,19.6,7,7,7
52535,MKR1310,29,5,-106,8.2,6,899,46.4,19.6,7,7,7
54036,MKR1310,30,5,-108,9.0,3,929,46.9,19.5,6,6,6
55536,MKR1310,31,5,-107,8.8,4,878,46.3,19.5,6,6,6
61036,MKR1310,32,5,-107,9.0,5,859,45.8,19.7,6,6,6
62536,MKR1310,33,5,-106,8.8,2,867,46.0,19.4,6,6,6
64036,MKR1310,34,5,-106,9.2,6,856,45.8,19.4,6,6,6
65536,MKR1310,35,5,-106,8.8,3,839,45.2,19.4,6,6,6
71036,MKR1310,36,5,-107,9.0,1,853,44.8,19.5,6,6,6
72536,MKR1310,37,5,-107,8.8,2,845,45.0,19.1,7,7,7
74036,MKR1310,38,5,-101,8.2,3,831,44.5,19.4,6,6,6
75536,MKR1310,39,5,-103,10.5,1,1478,49.4,19.5,10,10,10
81036,MKR1310,40,5,-108,9.2,6,1337,51.0,19.6,9,9,9
84037,MKR1310,42,5,-105,8.5,1,1112,44.0,19.7,12,12,12
85537,MKR1310,43,5,-105,7.5,5,1136,43.4,19.6,11,11,11
91037,MKR1310,44,5,-107,10.2,0,1040,42.7,19.7,12,12,12
92537,MKR1310,45,5,-107,9.2,3,1098,42.6,19.6,11,11,11
94037,MKR1310,46,5,-105,9.5,3,1042,43.0,19.6,11,11,11
95537,MKR1310,47,5,-103,8.8,5,960,41.5,19.5,12,12,12
101037,MKR1310,48,5,-107,9.5,0,993,44.9,19.7,10,10,10
102537,MKR1310,49,5,-107,8.2,5,963,45.1,19.5,10,10,10
104037,MKR1310,50,5,-103,9.2,6,985,46.5,19.4,9,9,9
105537,MKR1310,51,5,-106,8.5,3,966,46.7,19.6,7,7,7
111037,MKR1310,52,5,-107,9.2,4,884,44.8,19.6,10,10,10
112538,MKR1310,53,5,-103,8.5,1,888,43.6,19.6,10,10,10
114038,MKR1310,54,5,-105,8.8,5,839,41.5,19.4,11,11,11
115538,MKR1310,55,5,-111,7.5,3,917,45.7,19.6,10,10,10
121038,MKR1310,56,5,-108,6.5,6,927,45.2,19.5,10,10,10
122538,MKR1310,57,5,-107,7.5,2,935,41.8,19.7,12,12,12
124038,MKR1310,58,5,-106,8.5,5,1038,48.3,19.79,9,9,9
125538,MKR1310,59,5,-106,8.2,0,968,42.9,19.7,12,12,12
131038,MKR1310,60,5,-106,7.8,4,1015,48.5,19.79,9,9,9
132538,MKR1310,61,5,-108,7.5,1,802,40.59,19.79,16,16,16
134038,MKR1310,62,5,-108,7.2,2,958,45.9,20.0,11,11,11
135538,MKR1310,63,5,-109,8.5,5,878,44.5,19.79,14,14,14
141039,MKR1310,64,5,-111,7.5,6,883,45.2,20.1,12,12,12
142539,MKR1310,65,5,-107,8.0,6,852,45.0,20.1,12,12,12
